งวดงบการเงิน ณ วันที่,งบปี 57 31/12/2557,งบปี 58 31/12/2558,งบปี 59 31/12/2559,งบปี 60 31/12/2560
สินทรัพย์รวม,"126,350.56","181,761.27","275,670.35","284,067.35"
หนี้สินรวม,"79,485.81","133,268.29","232,962.02","233,640.57"
ส่วนของผู้ถือหุ้น,"46,750.40","48,376.33","42,568.88","50,320.35"
มูลค่าหุ้นที่เรียกชำระแล้ว,"2,973.10","2,973.10","2,973.10","2,973.10"
รายได้รวม,"150,028.94","156,015.25","152,717.99","158,477.17"
กำไรสุทธิ,"36,033.17","39,152.41","30,666.54","30,077.31"
กำไรต่อหุ้น (บาท),12.12,13.17,10.31,10.12
ROA(%),39.95,33.18,17.53,14.73
ROE(%),77.91,82.32,67.44,64.76
อัตรากำไรสุทธิ(%),24.02,25.1,20.08,18.98
ราคาล่าสุด(บาท),251,152,147,191
มูลค่าหลักทรัพย์ตามราคาตลาด,"746,246.93","451,910.49","437,045.01","567,861.21"
วันที่ของงบการเงินที่ใช้คำนวณค่าสถิติ,30/09/2557,30/09/2558,30/09/2559,30/09/2560
P/E (เท่า),20.89,12.06,12.49,19.69
P/BV (เท่า),19.84,11.87,12.11,13.59
มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),12.65,12.81,12.14,14.06
อัตราส่วนเงินปันผลตอบแทน(%),4.84,7.89,8.84,5.28
