งวดงบการเงิน ณ วันที่,งบปี 57 31/12/2557,งบปี 58 31/12/2558,งบปี 59 31/12/2559,งบปี 60 31/12/2560
สินทรัพย์รวม,"106,426.10","110,965.41","115,368.72","114,500.59"
หนี้สินรวม,"73,827.67","83,741.83","88,223.53","85,265.67"
ส่วนของผู้ถือหุ้น,"32,591.32","27,221.45","27,144.45","29,234.30"
มูลค่าหุ้นที่เรียกชำระแล้ว,"4,735.62","4,735.62","4,735.62","4,735.62"
รายได้รวม,"90,868.43","88,053.56","82,800.14","78,740.56"
กำไรสุทธิ,"10,728.75","5,893.11","2,085.83","2,114.97"
กำไรต่อหุ้น (บาท),4.53,2.49,0.88,0.89
ROA(%),13.82,8.12,3.67,3.38
ROE(%),32.86,19.71,7.67,7.50
อัตรากำไรสุทธิ(%),11.81,6.69,2.52,2.69
ราคาล่าสุด(บาท),96.50,30.25,37.75,49.00
มูลค่าหลักทรัพย์ตามราคาตลาด,"228,493.76","71,626.28","89,384.87","116,022.74"
วันที่ของงบการเงินที่ใช้คำนวณค่าสถิติ,30/09/2557,30/09/2558,30/09/2559,30/09/2560
P/E (เท่า),21.37,10.55,29.27,72.39
P/BV (เท่า),6.63,2.56,3.3,4.04
มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),14.55,11.8,11.42,12.13
อัตราส่วนเงินปันผลตอบแทน(%),3.85,22.84,7.76,0.86
