งวดงบการเงิน ณ วันที่,งบปี 57 31/12/2557,งบปี 58 31/12/2558,งบปี 59 31/12/2559,งบปี 60 31/12/2560
สินทรัพย์รวม,"234,570.46","282,844.27","448,960.46","465,310.94"
หนี้สินรวม,"163,629.74","207,637.73","317,232.52","331,108.18"
ส่วนของผู้ถือหุ้น,"70,349.64","74,547.45","131,052.21","133,533.20"
มูลค่าหุ้นที่เรียกชำระแล้ว,"246,079.28","98,431.71","133,472.78","133,472.78"
รายได้รวม,"117,659.99","122,949.39","131,157.90","147,602.80"
กำไรสุทธิ,"1,425.28","4,411.52","-2,814.35","2,322.53"
กำไรต่อหุ้น (บาท),0.07,0.18,-0.09,0.07
ROA(%),2.61,3.16,1.05,2.61
ROE(%),3.83,6.09,-2.74,1.76
อัตรากำไรสุทธิ(%),1.21,3.59,-2.15,1.57
ราคาล่าสุด(บาท),11.1,6.7,7.15,6.2
มูลค่าหลักทรัพย์ตามราคาตลาด,"273,148.00","164,873.12","238,582.60","206,882.81"
วันที่ของงบการเงินที่ใช้คำนวณค่าสถิติ,30/09/2557,30/09/2558,30/09/2559,30/09/2560
P/E (เท่า),N/A,27.49,N/A,N/A
P/BV (เท่า),3.99,2.22,1.79,1.62
มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),2.78,3.02,3.99,3.84
อัตราส่วนเงินปันผลตอบแทน(%),N/A,N/A,0.07,N/A
