organization,year,เงินสดและรายการเทียบเท่าเงินสด,เงินฝากธนาคาร,เงินลงทุน,ลูกหนี้การค้า,สินค้าคงเหลือ,สินทรัพย์หมุนเวียน,สินทรัพย์ไม่หมุนเวียน,เงินกู้ยืมระยะสั้น,เงินกู้ยืมระยะยาว,หนี้,ส่วนของเจ้าของ,กำไร,รายได้,ต้นทุน,สินทรัพย์หมุนเวียนทั้งหมด,สินทรัพย์ไม่หมุนเวียนทั้งหมด,หนี้สินหมุนเวียนทั้งหมด,หนี้สินไม่หมุนเวียนทั้งหมด
DTAC,2554,21873000000.0,400000.0,457000000.0,6575000000.0,384000000.0,2192000000.0,72384000000.0,1320000000.0,1268000000.0,66469000000.0,34809000000.0,11812000000.0,79198900000.0,62536000000.0,31125400000.0,72741100000.0,64850100000.0,4206970000.0000005
DTAC,2555,4554000000.0,400000.0,495000000.0,8385000000.0,904000000.0,2974000000.0,83728000000.0,8808000000.0,19460000000.0,37930000000.0,34844000000.0,11282000000.0,89497400000.0,74334100000.0,16969200000.0,84073900000.0,37800000000.0,28398300000.0
DTAC,2556,5472000000.0,400000.0,324000000.0,10676000000.0,1683000000.0,3598000000.0,83624000000.0,6295920000.0,18164400000.0,47873500000.0,32720000000.0,13857000000.0,94617000000.0,64593900000.0,21104900000.0,83948900000.0,45140500000.0,27193300000.0
DTAC,2557,5823200000.0,200000.0,309380000.0,10453800000.0,3891160000.0,3546640000.0,82401700000.0,5664400000.0,23000000000.0,45163300000.0,32598400000.0,13274600000.0,90492600000.0,61386800000.0,23714400000.0,82711700000.0,44902700000.0,28924900000.0
DTAC,2558,10120500000.0,200000.0,305040000.0,9722450000.0,2825770000.0,3605160000.0,84465000000.0,10000000000.0,18000000000.0,55820600000.0,27223600000.0,7444760000.0,87752800000.0,62063400000.0,26273500000.0,84770700000.0,49921900000.0,33898699999.999996
DTAC,2559,18293400000.0,200000.0,304910000.0,8983900000.0,2063290000.0,2571370000.0,83161900000.0,165000000.0,29000000000.0,59068800000.0,27145200000.0,2591580000.0,82477600000.0,60845800000.0,31911800000.0,83467200000.0,38232300000.0,50001500000.0
DTAC,2560,26047600000.0,140000.0,303090000.0,8589990000.0,1953530000.0,2624050000.0,74982200000.0,15000000.0,17500000000.0,67750700000.0,29234900000.0,2333080000.0,78274800000.0,59528800000.0,39215000000.0,75285600000.0,36438300000.0,48827400000.0
AIS,2549,12742200000.0,0.0,118187000.0,5364710000.0,2055470000.0,2612310000.0,111408000000.0,8030440000.0,25504300000.0,23167000000.0,77599000000.0,16256000000.0,91428200000.0,55955600000.0,22892900000.0,111408000000.0,31038700000.0,25663100000.0
AIS,2550,6822080000.0,1494580000.0,216204000.0,8191720000.0,1236250000.0,2717540000.0,108263000000.0,5398070000.0,24929200000.0,23153600000.0,75460800000.0,16242000000.0,108454000000.0,70756600000.0,20585600000.0,108356000000.0,28156600000.0,25324300000.0
AIS,2551,15009300000.0,1315260000.0,295487000.0,8515710000.0,1592500000.0,2806770000.0,98546300000.0,7524020000.0,29774400000.0,17347200000.0,73435600000.0,16464500000.0,110792000000.0,72038800000.0,26895700000.0,101186000000.0,24859800000.0,29785800000.0
AIS,2552,24261200000.0,905921000.0,3303800000.0,8668200000.0,787251000.0,4552000.0,86730400000.0,497440000.0,36620400000.0,15732400000.0,71811000000.0,16789100000.0,102452000000.0,66403200000.0,33361000000.0,91300300000.0,16218700000.0,36631600000.0
AIS,2553,10451400000.0,2166360000.0,4325720000.0,9142510000.0,1126830000.0,67978000.0,70067000000.0,15882700000.0,20477600000.0,19796400000.0,41191100000.0,20632800000.0,111339000000.0,68763100000.0,25953200000.0,71394600000.0,35285400000.0,20871300000.0
AIS,2554,18360800000.0,3526170000.0,832971000.0,9364900000.0,1087090000.0,112353000.0,53388000000.0,5469180000.0,16536700000.0,25202900000.0,39463600000.0,22344400000.0,126437000000.0,76220000000.0,33177900000.0,53494500000.0,29734400000.0,17474300000.0
AIS,2555,19833000000.0,3697850000.0,1447470000.0,11726800000.0,1426530000.0,78964000.0,62757300000.0,8461950000.0,11887800000.0,57426000000.0,37076300000.0,34899100000.0,151785000000.0,94187100000.0,38103400000.0,62864500000.0,36287600000.0,21138400000.0
AIS,2556,11473100000.0,3781140000.0,1681300000.0,14601400000.0,2864930000.0,660085000.0,76963700000.0,5303410000.0,15354800000.0,45474900000.0,45892600000.0,36230000000.0,150578000000.0,88936200000.0,34304200000.0,77721500000.0,45491200000.0,20641900000.0
AIS,2557,14258100000.0,3709330000.0,1600850000.0,1600850000.0,2519500000.0,1288940000.0,87764400000.0,2571630000.0,34478300000.0,42435900000.0,46864800000.0,36003200000.0,149329000000.0,83548300000.0,37958900000.0,88391700000.0,42906100000.0,36579700000.0
AIS,2558,9864910000.0,4447280000.0,363073000.0,16388500000.0,5059250000.0,1942220000.0,143696000000.0,12855600000.0,52576700000.0,67836000000.0,48493000000.0,39154900000.0,155276000000.0,84819000000.0,38006900000.0,143754000000.0,57533300000.0,75735000000.0
AIS,2559,11226100000.0,2963180000.0,98296000.0,14116300000.0,3085250000.0,875224000.0,243306000000.0,11684700000.0,87273400000.0,134004000000.0,42708300000.0,30689600000.0,152150000000.0,82991900000.0,32266100000.0,243404000000.0,69328000000.0,163634000000.0
AIS,2560,10650400000.0,2642630000.0,148664000.0,17071000000.0,3950540000.0,526271000.0,249078000000.0,9575570000.0,100102000000.0,123963000000.0,50426800000.0,30077900000.0,157722000000.0,92258600000.0,34840900000.0,249226000000.0,69600800000.0,164040000000.0
