"oganization","year","เงินสดและรายการเทียบเท่าเงินสด","เงินฝากธนาคาร","เงินลงทุน","ลูกหนี้การค้า","สินค้าคงเหลือ","สินทรัพย์หมุนเวียน","สินทรัพย์ไม่หมุนเวียน","เงินกู้ยืมระยะสั้น","เงินกู้ยืมระยะยาว","หนี้","ส่วนของเจ้าของ","กำไร","รายได้","ต้นทุน","สินทรัพย์หมุนเวียนทั้งหมด","สินทรัพย์ไม่หมุนเวียนทั้งหมด","หนี้สินหมุนเวียนทั้งหมด","หนี้สินไม่หมุนเวียนทั้งหมด"
"AIS",2549,12742200,0,118187,5364710,2055470,2612310,111408000,8030440,25504300,23167000,77599000,16256000,91428200,55955600,22892900,111408000,31038700,25663100
"AIS",2550,6822080,1494580,216204,8191720,1236250,2717540,108263000,5398070,24929200,23153600,75460800,16242000,108454000,70756600,20585600,108356000,28156600,25324300
"AIS",2551,15009300,1315260,295487,8515710,1592500,2806770,98546300,7524020,29774400,17347200,73435600,16464500,110792000,72038800,26895700,101186000,24859800,29785800
"AIS",2552,24261200,905921,3303800,8668200,787251,4552,86730400,497440,36620400,15732400,71811000,16789100,102452000,66403200,33361000,91300300,16218700,36631600
"AIS",2553,10451400,2166360,4325720,9142510,1126830,67978,70067000,15882700,20477600,19796400,41191100,20632800,111339000,68763100,25953200,71394600,35285400,20871300
"AIS",2554,18360800,3526170,832971,9364900,1087090,112353,53388000,5469180,16536700,25202900,39463600,22344400,126437000,76220000,33177900,53494500,29734400,17474300
"AIS",2555,19833000,3697850,1447470,11726800,1426530,78964,62757300,8461950,11887800,57426000,37076300,34899100,151785000,94187100,38103400,62864500,36287600,21138400
"AIS",2556,11473100,3781140,1681300,14601400,2864930,660085,76963700,5303410,15354800,45474900,45892600,36230000,150578000,88936200,34304200,77721500,45491200,20641900
"AIS",2557,14258100,3709330,1600850,1600850,2519500,1288940,87764400,2571630,34478300,42435900,46864800,36003200,149329000,83548300,37958900,88391700,42906100,36579700
"AIS",2558,9864910,4447280,363073,16388500,5059250,1942220,143696000,12855600,52576700,67836000,48493000,39154900,155276000,84819000,38006900,143754000,57533300,75735000
"AIS",2559,11226100,2963180,98296,14116300,3085250,875224,243306000,11684700,87273400,134004000,42708300,30689600,152150000,82991900,32266100,243404000,69328000,163634000
"AIS",2560,10650400,2642630,148664,17071000,3950540,526271,249078000,9575570,100102000,123963000,50426800,30077900,157722000,92258600,34840900,249226000,69600800,164040000
"DTAC",2554,21873,0.4,457,6575,384,2192,72384,1320,1268,66469,34809,11812,79198.9,62536,31125.4,72741.1,64850.1,4206.97
"DTAC",2555,4554,0.4,495,8385,904,2974,83728,8808,19460,37930,34844,11282,89497.4,74334.1,16969.2,84073.9,37800,28398.3
"DTAC",2556,5472,0.4,324,10676,1683,3598,83624,6295.92,18164.4,47873.5,32720,13857,94617,64593.9,21104.9,83948.9,45140.5,27193.3
"DTAC",2557,5823.2,0.2,309.38,10453.8,3891.16,3546.64,82401.7,5664.4,23000,45163.3,32598.4,13274.6,90492.6,61386.8,23714.4,82711.7,44902.7,28924.9
"DTAC",2558,10120.5,0.2,305.04,9722.45,2825.77,3605.16,84465,10000,18000,55820.6,27223.6,7444.76,87752.8,62063.4,26273.5,84770.7,49921.9,33898.7
"DTAC",2559,18293.4,0.2,304.91,8983.9,2063.29,2571.37,83161.9,165,29000,59068.8,27145.2,2591.58,82477.6,60845.8,31911.8,83467.2,38232.3,50001.5
"DTAC",2560,26047.6,0.14,303.09,8589.99,1953.53,2624.05,74982.2,15,17500,67750.7,29234.9,2333.08,78274.8,59528.8,39215,75285.6,36438.3,48827.4
