feature,explain
สินทรัพย์รวม,สินทรัพย์ทั้งหมดที่รวมทั้ง สินทรัพย์มีตัวตน และไม่มีตัวตนไว้แล้ว
หนี้สินรวม,หนี้สินทั้งหมดที่รวมทั้ง หนี้สินมีตัวตน และไม่มีตัวตนไว้แล้ว
ส่วนของผู้ถือหุ้น,ส่วนของผู้ถือหุ้น
มูลค่าหุ้นที่เรียกชำระแล้ว,เงินที่ได้รับชำระจากผู้ถือหุ้น โดยปกติแล้ว การที่ทุนจะเพิ่มขึ้นได้เกิดได้ 2 อย่าง ก็คือ เก็บเงินจากผู้ถือหุ้นมากขึ้น หรือไม่ก็ทำกำไรให้มากขึ้น
รายได้รวม,รายได้ทั้งหมดที่บริษัทหรือองค์กรทำได้
กำไรสุทธิ,กำไรสุทธิคือ กำไรที่เกิดจากการหักค่าใช้จ่ายทั้งหมดแล้ว โดยคำนวณจาก รายได้รวม หักลบด้วยต้นทุนของสินค้า หักลบด้วยค่าใช้จ่ายทุกประเภท และภาษีจ่ายแล้ว
กำไรต่อหุ้น (บาท),หรือที่เรียกว่า (EPS) กำไรต่อหุ้น หาจากการที่นำกำไรทั้งหมด มาหารด้วย จำนวน common stock ที่มี
ROA(%),Return on Asset (ROA) หรืออัตราส่วนผลตอบแทนต่อสินทรัพย์ คำนวณจาก กำไรสุทธิ (Net Profit) หารด้วย มูลค่าสินทรัพย์ทั้งหมดของบริษัท สะท้อนถึงความสามารถในการทำกำไรของบริษัท
ROE(%),Return on Equity (ROE) หรืออัตราส่วนผลตอบแทนต่อส่วนของผู้ถือหุ้น คำนวณจาก กำไรสุทธิ (Net Profit) หารด้วย ส่วนของผู้ถือหุ้น โดยตัดสินทรัพย์ในส่วนของหนี้สินออก เหลือเพียงทรัพย์สินสุทธิ สะท้อนถึงความสามารถในการทำกำไรปราศจากภาระของบริษัท
อัตรากำไรสุทธิ(%),กำไรสุทธิคือ กำไรที่เกิดจากการหักค่าใช้จ่ายทั้งหมดแล้ว โดยคำนวณจาก รายได้รวม หักลบด้วยต้นทุนของสินค้า หักลบด้วยค่าใช้จ่ายทุกประเภท และภาษีจ่ายแล้ว ต่อยอดไปถึงอัตราส่วนกำไรสุทธิ คือ อัตราส่วนร้อยละของกำไรสุทธิต่อรายได้ทั้งหมด
ราคาล่าสุด(บาท),ราคาหุ้นล่าสุด
มูลค่าหลักทรัพย์ตามราคาตลาด,มูลค่าหลักทรัพย์ตามตลาด
P/E (เท่า),Price/Earnings Ratio หรือ P/E คือ อัตราส่วนราคาต่อกำไรสุทธิต่อหุ้นรู้จักกันในชื่อP/E (พีอี)โดยคำนวณจาก การนำราคาหุ้นในปัจจุบัน (P) หารด้วย กำไรสุทธิต่อหุ้น (EPS) จะได้อัตราส่วน P/E Ratio
P/BV (เท่า),Price/Book Value หรือ P/BV คือ อัตราส่วนมูลค่าทางบัญชีของบริษัท โดยคำนวณจาก การนำราคาหุ้นในปัจจุบัน (P) หารด้วย มูลค่าของผู้ถือหุ้น (Equity/จำนวนหุ้นทั้งหมด) โดยยิ่ง P/BV มีมูลค่าต่ำกว่า 1 แปลว่า เราสามารถซื้อหุ้นได้ที่มูลค่าต่ำกว่ามูลค่าที่แท้จริงของบริษัท
มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),หรือที่เรียกกันว่า (BV) book value คือ ส่วนของเจ้าของหารด้วยจำนวน common stock ที่มี
อัตราส่วนเงินปันผลตอบแทน(%),หรือที่เรียกกันว่า (Dividend Yield)  เป็นอัตราส่วนทางการเงินที่เปรียบเทียบระหว่างเงินปันผลต่อหุ้นกับราคาของหุ้น ณ วันที่คำนวณ เป็นอัตราส่วนที่บ่งบอกถึงว่าหากซื้อหุ้น ณ ราคาปัจจุบัน จะมีโอกาสได้รับเงินปันผลเป็นอัตราร้อยล่ะเท่าไรของราคาหุ้น
